table_key,tre_dataset_key,filename,table_role,canonical_column,expected_tre_source_column,mapping_status,notes
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,sha256_hash,sha256_hash,TRE_NOTEBOOK_CONFIRMED_IDENTIFIER,Identifier used in the existing real TRE workflow.
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,ReferralObservationId,ReferralObservationId,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,FirstMSKReferralDate,FirstMSKReferralDate,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,Observed in prior real-data EDA; analytical meaning of FirstMSKDate still requires final source-owner confirmation.
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,FirstMSKDate,FirstMSKDate,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,Observed in prior real-data EDA; analytical meaning of FirstMSKDate still requires final source-owner confirmation.
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,FirstMSKSlotSession,FirstMSKSlotSession,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,LastMSKDate,LastMSKDate,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,Observed in prior real-data EDA; analytical meaning of FirstMSKDate still requires final source-owner confirmation.
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,LastMSKSlotSession,LastMSKSlotSession,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,DischargedOrNot,DischargedOrNot,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,DateOfBirth,DateOfBirth,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
msk_wider,msk_without_sports,active_blackpool_msk_cohort_without_sports.csv,wider msk,DateOfDeath,DateOfDeath,EXPECTED_FROM_EXISTING_REAL_DATA_WORKFLOW,
